recommendationClass,recommendationKey,recommendationMean,numberOfAnalystOpinions,shortName,symbol,Ticker,sector,state,fullExchangeName,In_SP500,In_NASDAQ,currentPrice,allTimeHigh,allTimeLow,52WeekChange,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,beta,averageVolume,marketCap,enterpriseValue,priceToBook,enterpriseToRevenue,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,revenueGrowth,totalRevenue,revenuePerShare,grossProfits,ebitda,netIncomeToCommon,trailingEps,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,bookValue,operatingCashflow,freeCashflow,trailingAnnualDividendYield,payoutRatio,sharesOutstanding,floatShares,sharesShort,sharesPercentSharesOut,shortRatio,shortPercentOfFloat,heldPercentInsiders,heldPercentInstitutions,fullTimeEmployees,is_Insolvent,_debtToEquity,has_benefits,_PER
0,Strong Buy,1.32,1.0864458528005343,S&P Global Inc.,SPGI,SPGI,Financial Services,NY,NYSE,True,False,1.4806449670143083,0.4757171558506234,-0.6640625674683875,-0.17413387061361102,-0.8687630789812907,-0.5195164709527312,0.00618364048377709,-0.2428861680058561,0.46859471788239493,0.5219935634583716,-0.13999845506440006,-0.030455212266378675,0.37694144579113276,0.8272511235157933,0.5012980180836724,0.04599398729039124,0.36386622644064975,0.06316407278892902,-0.04472520619388156,0.0587772448134505,-0.06781184168469985,0.3366172954005743,0.5102236161634872,0.4136218671284106,0.6687226775041819,-0.0014772053367354944,-0.05776962779878162,0.41623864478005224,-0.31082385454454237,-0.4282222560931071,1.368683881398531,0.4240018697016898,0.8214397508295549,-0.31220816170298155,-0.09031416651743893,0.0011094150741558567,0.023856559107460002,-0.4028155599106606,-0.9540649340834401,-0.8723768967384454,-0.9640671391243307,-0.5267191512007335,0.02353782097189651,0.24823050600867652,0,-0.23067104860984983,0,-0.024750664296053597
2,Hold,2.25,0.5028925609399133,General Dynamics Corporation,GD,GD,Industrials,VA,NYSE,True,False,0.9054993993277044,0.1740204397829039,-0.6638982645410307,-0.05102282019435335,0.1000340475705365,0.30826159295236094,-1.0157704973958959,-0.2816671830191206,0.22268346861483349,0.24819754006680922,-0.1743498792602873,-0.033136841519623914,0.049815945301617766,-0.8445844116642228,-0.1231354688728012,0.045014166740958476,0.30130403737944034,0.19516664592444202,-0.042396910318379846,0.900218793054689,0.8609971184559815,0.19177672383788186,0.3860284760415688,0.4247126142981046,0.7994546257913258,-0.029563926460609857,-0.07132565814333901,0.32134366162364847,-0.3302133331161519,-0.33103886509593305,0.9974641130876479,0.35716569943274495,0.5203392305290409,0.10643949497384397,-0.07404020787182089,-0.0360374408666699,-0.031607840678959824,-0.42243763144393326,-0.9560481706925241,-0.7202154929981782,-0.9491427981671826,-0.5045649146858903,-0.18681717001609977,1.1494419592273057,0,-0.22178929797142508,0,-0.09652020711537435
1,Buy,1.45455,-0.1973713892928318,"Life Time Group Holdings, Inc.",LTH,LTH,Consumer Cyclical,MN,NYSE,False,False,-0.33132271873673613,-0.2327648682507383,0.22099186118804506,-0.10790796555541673,-0.6540738817661456,-0.6432166773002406,0.7498183535791983,-0.15025499631090267,-0.14770008038651192,-0.14784885857743663,-0.2859842841247243,-0.03270288867762916,0.04814257491336362,0.1383089752056615,0.09398019950198445,0.04518654648287067,0.03728914130188056,0.010733718764347708,-0.038566488071586684,-0.22213628743804115,-0.2990103815446377,-0.1822232826527913,-0.17536290309607483,-0.14597802331643295,-0.16062973517457735,-0.1459608523402356,-0.24437908762083352,-0.12241940789949884,-0.4205129047496481,-0.5134485283026707,-0.2885226482503504,-0.15333486558150605,-0.2010340371701819,-0.6526649945934702,-0.1350014847301306,-0.0861685605025798,-0.12662205092551937,-0.17993045692382204,-0.4701552014669184,-0.2488862667783264,-0.32367723623579275,0.5471097245775505,-0.5339307456455035,0.32851257116479016,0,-0.0676791335996686,0,-0.08144607722911579
2,Hold,2.0,2.020131119777528,Veeva Systems Inc.,VEEV,VEEV,Healthcare,CA,NYSE,False,False,0.7134872702112672,0.16957989333180354,1.1003596414073704,0.09614357502530592,-0.021193874258594435,0.15671002011490492,-0.29387948936174396,-0.25185965596485343,0.03367390339373255,-0.010769130980437032,0.025845056047674685,-0.029637134152973112,0.37695852092948173,1.0135560138532682,0.1651804789335467,0.04557287228573033,0.4841969888493893,0.11119037671503886,-0.036538617470343246,-0.21872562126669276,-0.266466879392394,-0.12913904258394324,-0.15837349798810388,-0.05974087848073852,0.10429267855016389,0.393532443271487,1.120142387851062,-0.39468886323422603,0.9832853438348873,0.7397592833519869,0.1839498238290509,-0.07594061197223147,0.020284615465591602,-0.6526649945934702,-0.1350014847301306,-0.1435546234687502,-0.13789264182511035,-0.291606856999868,-0.5098199336486006,-0.10043611678782206,-0.6194505388410921,0.19159935328173427,-0.08196926780630003,-0.17501895599255488,0,-0.31690368254164003,0,0.08752113154046803
4,Strong Sell,2.97059,1.6699991446611553,lululemon athletica inc.,LULU,LULU,Consumer Cyclical,BC,NasdaqGS,True,True,0.24248661945580563,0.39412048704536057,-0.4716680470349522,-0.421267435930934,-0.722279788844732,-1.6305356983443382,-0.16341725899412604,0.13602464382831894,-0.08465869263993869,-0.09908029952015401,-0.12686026900710437,-0.033159188430067627,0.1906687615422488,0.504281485949818,0.13158880972359246,0.045332932215125306,2.2812928459983466,0.683540108949796,-0.044199461963929564,-0.03101224820838045,0.21789352180903965,0.11596512719968952,0.06206486697493749,0.08455967230525138,0.7821620400390581,-0.061396065245797965,0.07411627794813595,-0.28067415475890545,-0.3038990407689675,-0.10156394708689918,0.1215981163597034,-0.009515506257479048,0.004014980553942123,-0.6526649945934702,-0.1350014847301306,-0.19516182043306982,-0.1813124006249338,-0.1294978559243571,0.28347470998504126,-1.2101009879668432,0.24616130451141302,-0.14757762904082802,-0.06922689815006017,0.20778766115559671,0,-0.28034537918432995,0,-0.15129969511417632
2,Hold,2.0625,0.2694712441956649,Ares Management Corporation,ARES,ARES,Financial Services,CA,NYSE,False,False,0.13907055497596996,-0.01725512193846602,0.42821130222058945,-0.21994173482393925,-1.571382089196739,-0.8191913285859166,0.3801753675376148,-0.21505023693236636,0.032982600899570856,0.02870851219097223,0.2563104332272107,-0.03066026026896353,0.08080731286742418,-0.14665891011741913,0.08472449792096565,0.04529699840340401,-0.11143433367663312,0.1057899107550763,0.0043943261473482955,-0.17474226210389757,-0.23293148530227342,-0.152993273098088,-0.125639031085339,-0.12486850585662107,-0.10944368134786493,-0.02879197853425413,-0.02455735345461601,0.5152210672141451,-0.40444733679031447,-0.540415647270473,-0.2854257091376345,0.24402143542716495,0.10121208167669377,0.5947315867245215,0.2270823684054007,-0.09032395742839361,-0.0717183432430778,-0.19509047549556632,-0.4959372773850118,0.11481660069840952,-0.6208072971099237,0.5194820884531578,-0.33856958532010134,-0.21745376186078638,0,0.4964273788763689,0,0.19967697918950175
1,Buy,1.6,0.2694712441956649,"Crown Holdings, Inc.",CCK,CCK,Consumer Cyclical,FL,NYSE,False,False,-0.055411574114339696,-0.10849467827170486,-0.6120934042828946,-0.12370509554702992,-0.26327324218806336,-0.25521345305832677,-0.6577241540536558,-0.2565942019572164,-0.12431654029282717,-0.11436812892613969,-0.17668205586122757,-0.03329719570132136,-0.009793362674626991,-0.6316072364971395,-0.039014005754930164,0.0451309138805097,0.4390883968342368,0.27946170204883236,-0.04637754520230214,-0.004780898933431594,0.30084807612371617,-0.10374001303361192,-0.0343724696910237,-0.09714358280415016,0.09737564424925683,-0.0804494421929074,0.016645844040025514,0.055148247659903914,-0.3562506329123134,-0.40736089991046764,-0.08066641813523272,-0.08033951358537966,-0.0022140986618166534,-0.1779983265816784,-0.10162977265964397,-0.19218702365033585,-0.17936712898986587,-0.2560067180705236,-0.1230888543742984,0.03316901820363212,-0.16357976051365825,-0.47024756792760375,0.6518030360196571,0.014627805140887152,0,-0.10511436091947624,0,-0.1090464901160047
1,Buy,1.74074,1.3198671695447826,CSX Corporation,CSX,CSX,Industrials,FL,NasdaqGS,True,True,-0.28718665362983675,-0.22608451537855515,-0.6640930718531081,-0.04202267652979727,0.5531258040108068,0.24307196286127913,0.14679293321332068,1.7072587084755995,0.12978955502445566,0.2003389539932558,-0.07699056007961771,-0.031857933874635896,0.26188918067092964,0.10904345595964551,0.44949621628755443,0.04576449904058711,0.45555855068360107,0.2883097178668742,-0.04975732953770786,0.04512891226616363,-0.33904367996248186,0.12145726793950833,0.43468114380850176,0.24962683505240046,-0.12466115680986051,-0.10801603885152483,-0.26175221072030574,0.9461824107057506,-0.3487718340346926,-0.4625671717596477,-0.3951777902488286,0.3096955124770875,-0.01615442666136329,-0.043735894596925555,-0.08352169414910979,1.5939742314360938,1.653099590578096,0.8600501372620734,-0.8509366304110666,-0.9243344492351221,-0.8921589508762534,-0.527240427354024,-0.5470025987398205,0.01704230334107102,0,1.996334915732824,0,-0.08870015939807373
3,Sell,2.42105,0.2694712441956649,Public Service Enterprise Group,PEG,PEG,Utilities,NJ,NYSE,True,False,-0.09221862290532273,-0.15433257712177273,-0.15593009885940173,-0.14852302953082236,0.18149656087837115,-0.1475594197007702,-0.937493159175325,-0.10727036384739246,0.014988441065743497,0.10273675497246504,-0.2508593306469357,-0.03194792548696327,0.21467642313603513,-0.2287440730317165,0.3064931162726818,0.0456026313605179,-0.012490203628944315,0.08099955999987554,-0.037214574337424394,-0.02557269941850189,-0.23888958449373746,-0.030386040021290337,0.19037149750679525,0.11328468059672567,0.04273107327209088,-0.145465000350024,-0.2602895863936561,1.1923928353154585,-0.3803489848513139,-0.42338852722151993,0.06179278104970017,0.06195299998904068,-0.41045154957357427,0.6007069169942532,-0.03844579522368008,0.19937356282597188,0.22650678108313188,-0.12230246536576973,-0.8073054250112163,-0.3490901180219169,-0.7917588389827114,-0.5387085027264134,-0.7264362363794049,-0.10552969779126312,0,0.2427435968692316,0,-0.10069717107064466
0,Strong Buy,0.0,-1.3644779730140737,CTS Corporation,CTS,CTS,Technology,IL,NYSE,False,False,-0.2732979652521611,-0.16601342805032696,-0.4774533613785003,-0.21495562367066975,-0.2158285414552151,-0.45889887681741365,-0.4997198972750965,-0.37083580955058776,-0.16756357877137731,-0.18532026409381613,-0.27481647757009997,-0.03303386454041709,0.12139492526048856,-0.15459268920884106,0.04432074950816099,0.045220763364651646,0.42569094372510635,0.07657556205481394,-0.04607711992804385,-0.2766134317568575,-0.27255318230371967,-0.24859999813182737,-0.23734839999502275,-0.17002022876162243,-0.08523406129469015,-0.15291136225687485,-0.15244779762629562,-0.39277192984185816,-0.01527280260300732,-0.015320047746475138,-0.19267238271179232,-0.2228423442443288,-0.1947716724271722,-0.4850130337854636,-0.12321957613701048,-0.28109697061067057,-0.2652750118232935,-0.5332000448155998,-0.8489533938019825,-0.6497016717526886,-0.8446724114671457,-0.3617352486843127,0.39465326821171864,-0.22019421731799507,0,-0.31370683476417355,0,-0.11302512940551185
